date,state,city,median_eighth_usd,price_sample
2026-08-20,MD,New Market,25.00,33
2026-08-20,MD,Middleriver,30.00,64
2026-08-20,MD,Bethesda,30.00,92
2026-08-20,MD,Nottingham,30.00,120
2026-08-20,MD,Sykesville,30.00,95
2026-08-20,MD,Ellicott City,31.50,73
2026-08-20,MD,Street,32.00,52
2026-08-20,MD,Delmar,34.00,18
2026-08-20,MD,Princess Anne,34.00,55
2026-08-20,MD,Pikesville,34.00,246
2026-08-20,MD,Edgewater,35.00,289
2026-08-20,MD,Baltimore,35.00,1084
2026-08-20,MD,Brandywine,35.00,76
2026-08-20,MD,Kensington,35.00,48
2026-08-20,MD,Columbia,35.00,312
2026-08-20,MD,Salisbury,35.00,255
2026-08-20,MD,Rosedale,35.00,59
2026-08-20,MD,Catonsville,35.00,139
2026-08-20,MD,Pasadena,35.00,47
2026-08-20,MD,Westminster,35.00,48
2026-08-20,MD,Hagerstown,35.00,276
2026-08-20,MD,Towson,35.00,68
2026-08-20,MD,Timonium,35.00,102
2026-08-20,MD,Gambrills,35.00,69
2026-08-20,MD,Ocean City,36.00,95
2026-08-20,MD,Silver Spring,36.00,240
2026-08-20,MD,Cockeysville,36.00,321
2026-08-20,MD,Oxon Hill,36.00,207
2026-08-20,MD,Aberdeen,36.00,58
2026-08-20,MD,Crofton,36.00,40
2026-08-20,MD,Solomons,36.00,47
2026-08-20,MD,Elkton,37.12,70
2026-08-20,MD,Seabrook,37.50,40
2026-08-20,MD,Linthicum,38.50,145
2026-08-20,MD,Rockville,40.00,271
2026-08-20,MD,Laurel,40.00,347
2026-08-20,MD,Grasonville,40.00,86
2026-08-20,MD,Frederick,40.00,165
2026-08-20,MD,Greenbelt,40.00,145
2026-08-20,MD,Federalsburg,40.00,165
2026-08-20,MD,Millersville,40.00,171
2026-08-20,MD,Hyattsville,40.00,103
2026-08-20,MD,Annapolis,40.00,124
2026-08-20,MD,Temple Hills,40.00,143
2026-08-20,MD,California,40.00,79
2026-08-20,MD,Windsor Mill,40.00,210
2026-08-20,MD,Cumberland,40.00,172
2026-08-20,MD,Waldorf,40.00,106
2026-08-20,MD,Olney,40.00,49
2026-08-20,MD,Clinton,40.00,42
2026-08-20,MD,Upper Marlboro,40.00,74
2026-08-20,MD,Cambridge,40.00,139
2026-08-20,MD,Perryville,40.00,82
2026-08-20,MD,Mechanicsville,42.00,89
2026-08-20,MD,Bowie,43.60,46
2026-08-20,MD,Capitol Heights,45.00,109
2026-08-20,MD,Millington,45.00,109
