date,state,grade,median_ounce_usd,price_sample
2026-08-20,MD,whole_flower,190.00,902
2026-08-20,MD,shake_trim,94.50,80
2026-08-20,MD,smalls_popcorn,190.00,88
2026-08-20,OH,whole_flower,147.35,43
2026-08-20,OH,smalls_popcorn,190.50,26
2026-08-20,CA,whole_flower,79.99,1427
2026-08-20,CA,shake_trim,25.00,287
2026-08-20,CA,smalls_popcorn,72.00,275
2026-08-20,AZ,whole_flower,120.00,933
2026-08-20,AZ,smalls_popcorn,75.50,53
2026-08-20,NV,whole_flower,120.00,292
2026-08-20,NV,shake_trim,65.00,94
2026-08-20,NV,smalls_popcorn,99.00,55
2026-08-20,CO,whole_flower,106.82,3338
2026-08-20,CO,shake_trim,35.00,157
2026-08-20,CO,smalls_popcorn,60.00,354
2026-08-20,MI,whole_flower,99.00,29914
2026-08-20,MI,infused_bud,175.00,1643
2026-08-20,MI,shake_trim,20.00,2496
2026-08-20,MI,smalls_popcorn,70.00,1267
