date,state,city,median_eighth_usd,price_sample
2026-07-26,AZ,Payson,15.00,91
2026-07-26,AZ,Safford,15.00,76
2026-07-26,AZ,Sun City,20.00,66
2026-07-26,AZ,Kingman,20.00,137
2026-07-26,AZ,Tolleson,20.00,137
2026-07-26,AZ,Cave Creek,20.25,29
2026-07-26,AZ,Flagstaff,21.50,109
2026-07-26,AZ,Prescott Valley,22.00,120
2026-07-26,AZ,Lake Havasu City,25.00,51
2026-07-26,AZ,Bullhead City,25.00,122
2026-07-26,AZ,Goodyear,25.00,17
2026-07-26,AZ,Mesa,30.00,1017
2026-07-26,AZ,Glendale,30.00,503
2026-07-26,AZ,Tucson,30.00,1209
2026-07-26,AZ,El Mirage,30.00,260
2026-07-26,AZ,Show Low,30.00,26
2026-07-26,AZ,Phoenix,30.50,2827
2026-07-26,AZ,Chandler,35.00,412
2026-07-26,AZ,Peoria,35.00,283
2026-07-26,AZ,Surprise,35.00,49
2026-07-26,AZ,Queen Creek,35.00,77
2026-07-26,AZ,Gilbert,35.00,100
2026-07-26,AZ,Scottsdale,36.00,438
2026-07-26,AZ,Apache Junction,40.00,221
2026-07-26,AZ,Buckeye,40.00,33
2026-07-26,AZ,Sedona,40.00,50
2026-07-26,AZ,Tempe,45.00,438
2026-07-26,AZ,Avondale,45.00,229
2026-07-26,AZ,Guadalupe,45.00,127
2026-07-26,AZ,Prescott,45.50,69
2026-07-26,AZ,Casa Grande,47.00,178
2026-07-26,AZ,Cottonwood,47.00,168
2026-07-26,AZ,Bisbee,47.00,131
2026-07-26,OH,Mt Carmel,25.52,57
2026-07-26,OH,Seven Hills,28.40,60
2026-07-26,OH,Harrison,28.70,41
2026-07-26,OH,Euclid,29.25,81
2026-07-26,OH,Willoughby Hills,29.25,76
2026-07-26,OH,Sycamore Twp,29.82,84
2026-07-26,OH,Wickliffe,30.00,91
2026-07-26,OH,Parma,30.10,60
2026-07-26,OH,Cleveland St Clair,30.80,34
2026-07-26,OH,Norwood,30.80,32
2026-07-26,OH,Warren,31.50,73
2026-07-26,OH,Akron,31.85,226
2026-07-26,OH,Painesville,31.85,111
2026-07-26,OH,Solon,32.00,127
2026-07-26,OH,Cincinnati,32.50,539
2026-07-26,OH,Columbus,32.80,1061
2026-07-26,OH,Dayton,32.90,255
2026-07-26,OH,Lorain 7420 Oak Point Rd,33.75,62
2026-07-26,OH,Westerville,33.75,85
2026-07-26,OH,South Euclid,34.30,53
2026-07-26,OH,Beavercreek,35.20,58
2026-07-26,OH,Canton,36.00,128
2026-07-26,OH,Springdale,36.00,51
2026-07-26,OH,Garfield Hts,36.80,28
2026-07-26,OH,Springfield,37.60,33
2026-07-26,OH,Middletown,37.60,23
2026-07-26,OH,Piqua,38.25,158
2026-07-26,OH,Clayton,38.25,86
2026-07-26,OH,Bowling Green,40.00,28
2026-07-26,OH,Toledo,41.00,55
2026-07-26,OH,Monroe,41.00,83
2026-07-26,OH,Cleveland Hts,42.00,67
2026-07-26,OH,Columbus N Hamilton Rd,42.00,80
2026-07-26,OH,Cleveland,43.50,27
2026-07-26,OH,Berea,44.00,44
2026-07-26,OH,Milford,44.00,83
2026-07-26,OH,London,44.00,41
2026-07-26,OH,Whitehall,45.00,57
2026-07-26,OH,Riverside,45.50,25
2026-07-26,CO,Trinidad,18.33,187
2026-07-26,CO,Broomfield,18.51,63
2026-07-26,CO,Colorado Springs,19.15,254
2026-07-26,CO,Boulder,20.00,322
2026-07-26,CO,Pueblo West,20.16,42
2026-07-26,CO,Edgewater,20.90,184
2026-07-26,CO,Louisville,20.99,47
2026-07-26,CO,Westminster,22.40,18
2026-07-26,CO,Lakewood,22.50,124
2026-07-26,CO,Denver,23.44,2817
2026-07-26,CO,Englewood,23.69,97
2026-07-26,CO,Golden,23.89,110
2026-07-26,CO,Northglenn,24.00,195
2026-07-26,CO,Commerce City,25.00,42
2026-07-26,CO,Aurora,25.25,495
2026-07-26,CO,Pueblo,26.00,158
2026-07-26,CO,Thornton,27.86,152
2026-07-26,CO,Fort Collins,28.00,72
2026-07-26,CO,Littleton,28.50,30
2026-07-26,CO,Wheat Ridge,30.00,39
2026-07-26,CO,Federal Heights,30.50,35
2026-07-26,MI,Lake Orion,15.00,67
2026-07-26,MI,Constantine,15.00,52
2026-07-26,MI,Webberville,15.00,80
2026-07-26,MI,Haslett,15.00,50
2026-07-26,MI,Dowagiac,15.15,22
2026-07-26,MI,Grant,16.00,93
2026-07-26,MI,River Rouge,18.00,64
2026-07-26,MI,Morenci,18.00,129
2026-07-26,MI,Flint,18.00,31
2026-07-26,MI,Kalamazoo,20.00,651
2026-07-26,MI,Monroe,20.00,1646
2026-07-26,MI,Center Line,20.00,511
2026-07-26,MI,Coldwater,20.00,345
