date,state,grade,median_ounce_usd,price_sample
2026-08-21,MD,whole_flower,190.00,948
2026-08-21,MD,shake_trim,92.50,54
2026-08-21,MD,smalls_popcorn,175.00,106
2026-08-21,OH,whole_flower,171.00,70
2026-08-21,OH,smalls_popcorn,190.50,23
2026-08-21,CA,whole_flower,79.99,1453
2026-08-21,CA,shake_trim,25.00,285
2026-08-21,CA,smalls_popcorn,72.00,273
2026-08-21,AZ,whole_flower,199.00,1054
2026-08-21,AZ,smalls_popcorn,75.50,51
2026-08-21,NV,whole_flower,120.00,281
2026-08-21,NV,shake_trim,65.00,90
2026-08-21,NV,smalls_popcorn,99.00,56
2026-08-21,CO,whole_flower,106.82,3371
2026-08-21,CO,shake_trim,35.00,143
2026-08-21,CO,smalls_popcorn,60.00,315
2026-08-21,MI,whole_flower,99.00,29914
2026-08-21,MI,infused_bud,175.00,1643
2026-08-21,MI,shake_trim,20.00,2496
2026-08-21,MI,smalls_popcorn,70.00,1267
